Wind AT 2013,Wind AT 2015,Wind AT 2016,Wind 2030 TU EEG Stromzukunft,WEB 2015 Umgebung Wien,Hochrechnung berschuss 2050,Wind AT 2017,Wind AT 2018,Wind AT 2019,Wind AT 2020
1076.6505,1405.997,216.741,3.712712627,1.787847,4.8,2293.311,844.229,1846,2943
1071.5738,1421.3345,222.9083,3.863760487,2.192394,5.2,2262.965,864.611,2031,2928
1054.2328,1472.515,210.0205,4.141776114,3.142503,5.7,2176.727,896.736,2209,2841
1033.1758,1566.151,179.2685,3.975404561,3.018321,6.5,1860.07,786.64,2275,2820
1021.9475,1574.8605,160.1105,4.435115434,3.188118,6.6,1804.778,522.116,2302,2909
983.9063,1548.6018,168.8963,4.864178921,3.757374,6.7,1390.911,363.243,2295,2936
972.6765,1460.092,158.3315,4.724076562,3.674766,6,1206.665,443.191,2375,2938
997.5328,1369.7543,165.1695,4.645268982,2.634678,5,1508.036,490.655,2273,2932
981.306,1300.8615,180.3385,4.625567089,2.382342,3.9,1583.973,625.452,2173,2902
984.58,1235.269,206.2115,4.531435816,1.96503,2.7,1599.213,592.487,2242,2896
927.4165,1147.8188,177.8355,5.203489336,3.31887,2.1,1802.721,459.613,2479,2829
898.8885,1363.207,190.5118,5.855840964,3.07932,4.2,2001.968,377.09,2554,2734
903.27,1420.5735,205.7583,6.267391658,3.258684,4.5,2188.285,337.716,2628,2746
997.6955,1650.9383,269.3285,6.442519612,3.651171,6.1,2290.672,240.131,2699,2794
1020.3088,1579.9298,215.3838,6.481923398,3.478929,6,2297.77,210.956,2801,2773
1041.2678,1598.7725,145.508,6.615458465,3.772569,6.1,2318.406,306.212,2840,2722
1034.7295,1845.934,92.9635,6.619836666,3.709158,7.1,2308.675,511.11,2886,2443
1021.5315,1832.0953,67.3173,6.190773178,3.598152,6.1,2247.062,702.686,2869,1987
1010.2235,1788.212,56.7188,6.227987873,3.847671,6.1,2119.817,720.588,2895,1781
952.683,1812.9285,66.4853,5.582203537,3.572079,5.9,2156.829,585.492,2853,1848
943.2855,1784.7648,85.775,4.86198983,2.861451,5.9,2194.547,691.636,2800,1704
910.4135,1704.9238,117.982,4.505166622,2.609589,5.9,2166.071,705.832,2645,1283
835.1233,1498.6433,114.132,4.340984161,2.134197,4.8,2161.136,558.729,2366,950
829.703,1338.2485,114.616,4.362875154,2.474328,3.8,2093.363,458.655,1565,818
829.0623,1262.587,119.2483,4.391333448,2.814858,2.9,2096.964,357.997,1325,897
710.189,1164.172,113.4175,4.439493634,2.476032,2.7,2200.348,357.884,1610,1008
648.5798,1112.319,88.119,4.483275629,2.605416,2.8,2269.106,298.607,1831,845
633.598,959.834,68.83,5.032739583,1.848525,2.3,2301.037,209.409,1920,548
641.5563,866.254,63.6765,5.726684096,1.342833,2.2,2266.175,208.396,1938,365
723.6235,790.8748,58.2445,5.671956618,1.177581,1.9,2278.613,219.824,1871,245
703.0403,740.7368,57.793,5.520908749,1.389915,1.7,2310.311,182.853,1977,124
620.9713,716.025,59.6318,5.023983182,1.118853,1.3,2293.181,161.768,1923,25
434.631,588.6865,39.897,3.918487974,0.694461,0.6,2285.722,194.885,2315,4
297.3763,642.2065,37.9898,3.323052925,0.644199,0.4,2349.53,188.979,2396,4
205.386,614.0468,31.8423,3.579177559,0.907836,0,2380.824,193.214,2415,8
168.0128,440.9288,13.6903,3.395293214,0.271212,0,2407.467,192.263,2376,18
170.2505,320.6193,11.811,3.487235386,0.175992,0,2389.003,151.218,2463,9
154.356,398.0613,13.2358,3.861571387,0.280797,0,2397.783,171.117,2623,11
204.7893,485.2188,10.3508,4.316904068,0.135681,0.6,2309.094,185.291,2693,61
168.4995,550.7813,6.3273,4.249041988,0.13779,1.1,2220.463,206.44,2611,94
207.037,526.967,8.627,3.605446753,0.094524,0.5,2064.102,224.25,2542,100
394.435,469.9753,10.3048,2.228503218,0.17958,0,1972.401,308.709,2484,136
543.4973,421.9688,7.328,2.003025978,0.076068,0,2081.034,386.007,2574,276
890.7923,319.4505,16.0695,1.965811283,0.084975,0,2051.807,357.451,2511,468
989.4438,382.9465,31.649,1.725010351,0.071979,0,1911.86,276.02,2442,549
968.1278,268.4018,32.0975,1.457940215,0.013029,0,1784.893,184.127,2285,548
