"Dach OW (320 kWp, 60%PV/Roof area)","Fassade SO/SW (209 kWp, 22% PV/ ref Area)",Dach+Fass,Var4,Var5
13.695,5.124,18.819,482.0512821,56.55053058
8.357,3.118,11.475,418.9497655,37.86673954
3.787,1.408,5.195,235.7881313,15.73621169
0.172,0.063,0.235,10.46773239,0.670401239
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5.365,1.998,7.363,22.6770506,5.825932504
16.236,6.081,22.317,172.2894749,14.46827891
19.099,7.159,26.258,306.4207314,22.52402423
18.21,6.824,25.034,413.8270255,27.6540511
23.725,8.904,32.629,463.9249442,27.63583367
31.596,12.043,43.639,449.3327868,23.49319124
22.511,8.446,30.957,401.4318896,16.39203899
12.674,6.026,18.7,228.4975179,6.718586328
0.374,0.137,0.511,10.3912192,0.655827299
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
10.532,4.68,15.212,45.60550166,34.94102109
30.889,17.507,48.396,201.7506945,97.56524115
49.821,30.968,80.789,348.9110534,154.2943025
57.938,33.411,91.349,452.8487498,186.6010839
59.289,33.364,92.653,516.901216,21.24880448
54.279,31.26,85.539,510.9550485,159.2348682
36.423,20.813,57.236,442.0858952,118.4424102
16.359,9.521,25.88,250.9632463,55.24251947
0.168,0.061,0.229,13.58291206,0.648540329
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2.735,1.015,3.75,37.19269481,3.115179669
8.546,3.19,11.736,161.8836817,99.77683654
13.826,5.174,19,306.1802614,174.2023045
14.95,5.597,20.547,402.8346313,210.5096325
13.529,5.062,18.591,402.4119871,179.4962882
80.626,68.278,148.904,357.4258779,150.7856265
59.919,57.336,117.255,270.6562827,101.0301954
28.686,27.288,55.974,190.2190645,44.17361206
0.169,0.061,0.23,11.18185544,0.652183814
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
11.88,9.325,21.205,44.01329872,34.66411623
42.578,43.805,86.383,176.279091,101.3763265
76.59,72.505,149.095,307.378968,337.1899622
20.757,7.785,28.542,394.7242337,298.9443002
47.499,23.192,70.691,446.1155896,117.2109122
6.042,2.252,8.294,458.0917247,189.6725418
39.014,24.153,63.167,393.3324225,143.7792048
34.972,30.579,65.551,205.9115544,34.17953272
1.972,0.73,2.702,8.631415949,0.641253359
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.17,0.062,0.232,0,0.648540329
8.501,3.173,11.674,48.27981965,41.76891196
22.677,8.611,31.288,197.7064262,112.7804345
34.793,13.716,48.509,340.8370907,175.8418728
40.954,16.712,57.666,439.9070911,230.1006513
41.376,16.865,58.241,503.3620258,252.4279273
36.467,14.45,50.917,503.0887644,128.2980371
24.217,9.165,33.382,438.0452703,105.4315253
10.59,3.958,14.548,255.6924899,65.64466913
0.168,0.061,0.229,16.752744,0.637609874
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.171,0.063,0.234,0,0
12.413,5.787,18.2,34.24511545,17.43043221
30.197,14.782,44.979,88.3035023,46.7859908
45.704,22.287,67.991,186.4334836,80.88536685
55.535,28.519,84.054,273.6949492,7.651318486
59.544,31.33,90.874,380.9555039,98.8659653
53.322,27.018,80.34,417.0770142,81.97841235
38.499,20.175,58.674,449.0376645,51.08165961
18.849,10.724,29.573,290.4950585,19.43434895
0.169,0.062,0.231,26.32053559,0.655827299
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.174,0.063,0.237,0,0.670401239
9.018,3.367,12.385,20.08288928,6.889830123
26.058,10.25,36.308,57.69458487,16.83654415
36.151,14.24,50.391,99.03356561,26.25130938
41.597,16.607,58.204,116.6279546,32.69663433
42.435,17.015,59.45,126.9207997,32.72213873
37.045,14.437,51.482,87.31976135,27.3625723
25.216,9.467,34.683,56.63068725,1.471967937
11.788,4.406,16.194,33.47634012,0.674044724
0.379,0.14,0.519,3.399371499,0.674044724
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.175,0.064,0.239,0,0.677688209
13.853,11.172,25.025,23.60978276,43.71817644
37.502,22.246,59.748,77.93414401,12.00163957
57.734,48.59,106.324,119.8524389,136.441226
74.058,68.426,142.484,149.5541285,90.55517603
86.132,85.347,171.479,152.8004737,150.9714442
85.795,77.928,163.723,129.5113176,151.6090541
60.823,52.982,113.805,103.070547,105.6319169
30.203,26.568,56.771,53.23495924,209.9412488
0.377,0.138,0.515,3.366580134,13.64849479
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.169,0.061,0.23,0,0.659470784
13.575,10.769,24.344,12.05264836,6.747734208
39.12,36.711,75.831,38.12178349,42.49032199
61.76,64.089,125.849,62.75538553,79.62836453
76.604,85.398,162.002,71.9624721,5.7785672
86.584,89.294,175.878,91.60085622,67.22594161
85.693,77.26,162.953,92.41699686,175.0694539
67.82,62.17,129.99,65.20016396,268.1532085
34.749,27.695,62.444,28.12406066,80.94001913
0.999,0.368,1.367,4.047911828,1.417315662
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.167,0.061,0.228,0,0.659470784
7.331,2.735,10.066,54.2150567,53.41713349
17.249,6.463,23.712,189.5960286,124.315708
25.814,9.696,35.51,327.4108485,250.3365669
29.86,11.225,41.085,413.4225987,239.2239377
30.141,11.332,41.473,480.233183,271.807624
24.92,9.357,34.277,485.6255408,203.6562372
18.633,6.984,25.617,430.9951268,189.0385754
8.657,3.232,11.889,321.5484811,112.295851
0.366,0.134,0.5,174.5885139,5.753062805
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.172,0.063,0.235,0,0.670401239
13.097,5.555,18.652,51.38406886,2.302682516
30.523,13.562,44.085,57.95691579,72.07906362
48.284,23.921,72.205,22.4584415,106.233092
56.315,27.161,83.476,27.75971216,122.3263652
59.569,29.115,88.684,182.3746413,125.7293802
53.831,26.191,80.022,488.0193105,109.5450198
37.307,17.903,55.21,485.2466184,77.49692581
16.614,8.389,25.003,166.7841691,38.7484629
0.81,0.299,1.109,4.073416223,1.457393997
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.17,0.062,0.232,0,1.468324452
5.295,1.971,7.266,52.96169786,38.79947169
14.04,5.254,19.294,201.4774332,128.3016806
21.126,7.924,29.05,258.2538598,307.8234732
27.458,10.316,37.774,356.2963975,354.9956734
29.446,11.068,40.514,417.4267887,379.7859453
28.829,10.835,39.664,245.0425832,336.5596393
19.561,7.334,26.895,276.1360842,248.4164503
8.16,3.045,11.205,244.0333379,114.3362026
0.58,0.213,0.793,92.21660518,1.428246117
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.59,0.217,0.807,0,1.453750512
15.292,17.386,32.678,60.34704195,4.033337888
46.615,53.205,99.82,200.5264836,104.8850025
70.915,84.063,154.978,396.3674455,165.3595664
84.634,100.341,184.975,472.3195336,212.8268889
96.533,105.515,202.048,343.6134262,234.0028237
98.988,95.792,194.78,192.6857039,207.1248349
81.932,82.167,164.099,81.68693355,18.32308603
45.139,37.805,82.944,66.05638293,64.20913604
2.44,0.905,3.345,10.33292344,1.435533087
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.168,0.061,0.229,1.883681742,0.659470784
11.418,4.268,15.686,73.98096279,55.44291114
25.217,9.47,34.687,184.4587148,122.1769823
36.124,14.121,50.245,302.3546022,225.0434941
44.764,18.217,62.981,368.3308284,221.3854352
46.165,18.83,64.995,245.5016623,299.0572483
38.369,14.921,53.29,222.9011249,261.3362481
33.089,13.531,46.62,49.82830077,196.6935374
14.833,5.553,20.386,16.78189188,71.28114041
0.572,0.211,0.783,13.50275539,4.802113221
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.168,0.061,0.229,0.546522749,0.652183814
12.238,4.577,16.815,33.18486132,51.80671312
24.693,9.271,33.964,122.6287744,137.5889238
38.491,15.17,53.661,207.215922,141.7789315
47.489,19.35,66.839,220.8170515,323.275493
